x,y
6.47,0.87
-5.61,0.57
5.71,0.06
3.57,0.38
2.62,0.97
-6.96,0.26
3.64,0.38
3.55,0.85
3.90,0.11
0.36,0.59
-0.14,0.32
5.56,0.86
2.92,0.09
0.06,0.98
-6.45,0.78
6.49,0.89
2.15,0.13
0.07,0.24
-0.37,0.78
3.35,0.52
3.73,0.11
6.61,0.66
-3.39,0.72
-0.58,0.52
3.65,0.38
-6.73,0.04
5.29,0.35
0.17,0.85
5.85,0.15
-0.03,0.27
4.20,0.72
-1.70,0.67
-2.84,0.32
0.31,0.26
0.17,0.77
1.84,0.82
3.49,0.69
-0.26,0.11
6.72,0.72
0.26,0.78
5.93,0.71
6.81,0.87
-2.86,0.24
2.73,0.89
3.38,0.96
6.45,0.57
-6.76,0.03
-2.50,0.85
-5.27,0.73
-4.40,0.71
5.40,0.27
1.97,0.36
5.85,0.95
-0.94,0.76
0.31,0.74
3.35,0.04
-6.94,0.47
3.16,0.84
-6.52,0.81
2.98,0.88
-6.53,0.07
2.48,0.38
5.94,0.37
-5.42,0.91
-3.43,0.06
-6.21,0.94
5.97,0.84
-2.73,0.18
-3.70,0.32
-2.69,0.39
-0.13,0.72
0.44,0.32
-3.22,0.07
-2.68,0.62
-5.41,0.41
6.63,0.04
5.76,0.70
-3.37,0.20
-3.91,0.86
-6.39,0.29
3.56,0.19
-0.02,0.86
2.82,0.57
3.21,0.69
-1.09,0.48
-6.78,0.21
2.71,0.42
-2.45,0.39
-3.63,0.45
-6.97,0.14
0.71,0.46
0.19,0.24
2.61,0.06
-6.15,0.86
-5.71,0.80
4.15,0.21
-1.40,0.15
-5.03,0.56
-0.76,0.77
-3.62,0.10
-2.28,0.37
-3.54,0.12
-6.38,0.54
-2.41,0.76
5.52,0.83
-5.24,0.78
5.59,0.06
-3.07,0.05
3.06,0.66
0.47,0.67
2.41,0.68
-0.24,0.30
-6.52,0.20
-2.56,0.01
-3.03,0.55
-6.55,0.66
6.08,0.00
-5.99,0.72
5.80,0.95
-5.72,0.50
-2.12,0.63
-6.89,0.64
-0.65,0.63
-6.90,0.74
-6.57,0.25
0.53,0.37
-0.36,0.85
2.59,0.78
0.38,0.44
5.98,0.90
3.02,0.47
-5.96,0.89
-6.33,0.48
-3.05,0.74
5.39,0.61
-3.01,0.95
-2.78,0.85
0.22,0.21
-6.19,0.90
3.19,0.35
-5.54,0.19
-3.60,0.45
6.30,0.83
5.96,0.99
-0.30,0.50
5.34,0.91
0.21,0.55
2.83,0.36
-2.25,0.86
5.85,0.76
0.30,0.11
0.26,0.60
0.91,0.67
6.44,0.70
-6.68,0.20
-2.94,0.63
0.39,0.57
6.38,0.24
-2.97,0.48
-3.79,0.67
3.80,0.57
6.66,0.30
5.32,0.96
5.89,0.63
-5.59,0.10
6.16,0.03
2.99,0.12
-0.10,0.95
-3.43,0.43
-2.94,0.10
-3.64,0.54
-3.28,0.16
-0.31,0.75
4.06,0.03
3.04,0.34
-6.42,0.10
2.70,0.31
3.10,0.74
2.57,0.11
6.17,0.75
5.70,0.09
5.95,0.21
-6.97,0.54
-5.68,0.65
5.90,0.91
-5.29,0.52
3.56,0.98
5.45,0.82
-2.37,0.26
0.51,0.98
0.41,0.37
-3.24,0.28
-1.22,0.15
3.80,0.82
-6.80,0.05
-4.21,0.90
-2.40,0.49
6.03,0.98
5.83,0.40
-2.25,0.79
-5.81,0.49
0.72,0.61
5.57,0.32
-0.40,0.78
-0.20,0.49
-0.56,0.48
-3.63,0.65
-3.55,0.53
-5.70,0.51
3.26,0.78
-3.32,0.92
6.26,0.02
-2.21,0.74
5.77,0.19
0.59,1.00
-3.35,0.47
5.79,0.51
-5.83,0.91
6.57,0.64
-0.42,0.78
0.09,0.53
0.41,0.74
2.86,0.79
-0.24,0.79
3.37,0.64
6.35,0.85
0.86,0.96
-6.34,0.59
1.34,0.67
5.33,0.53
-0.01,0.13
4.16,0.58
5.77,0.92
-5.96,0.65
-4.17,0.09
5.54,0.92
5.38,0.83
-6.97,0.80
-2.75,0.45
-6.36,0.18
-5.66,0.86
-6.84,0.14
-5.87,0.40
3.83,0.15
0.75,0.82
-3.61,0.06
2.82,0.21
-5.59,0.05
-0.87,0.24
0.30,0.98
2.50,0.56
5.87,0.87
-6.84,0.22
3.74,0.86
-2.53,0.17
-5.58,0.10
-3.83,0.21
-3.58,0.22
5.39,0.20
-6.20,0.33
5.99,0.61
3.49,0.71
6.14,0.15
-5.93,0.81
5.95,0.03
-0.20,0.39
0.00,0.94
-2.94,0.22
4.95,0.35
0.08,0.71
2.63,0.90
6.17,0.37
2.15,0.30
2.03,0.57
-6.34,0.70
-5.90,0.11
-3.21,0.71
-0.79,0.66
-2.72,0.67
3.50,0.11
-2.99,0.04
1.20,0.28
-0.81,0.02
-2.66,0.37
-6.32,0.79
1.40,0.98
-6.30,0.80
0.29,0.51
0.04,0.77
-5.24,0.46
-6.59,0.43
-0.53,0.71
3.29,0.38
5.72,0.32
6.82,0.42
5.29,0.36
6.68,0.54
3.25,0.68
-3.55,0.05
1.87,0.94
-0.81,0.54
-5.57,0.04
3.87,0.37
3.91,0.74
0.66,0.77
-6.03,0.13
0.70,0.97
-3.95,0.06
-5.73,0.45
-0.16,0.77
-3.58,0.15
0.64,0.72
6.72,0.83
-3.78,0.63
-6.67,0.79
-2.52,0.92
3.46,0.01
-3.61,0.23
-3.29,0.96
2.86,0.43
-0.43,0.09
2.37,0.30
