x,y
-4.51,0.51
-1.46,0.49
2.23,0.37
2.41,0.14
-2.11,0.64
-0.89,0.29
-2.03,0.96
-3.56,0.60
4.27,0.00
2.35,0.03
-1.05,0.25
-1.12,0.56
-3.36,0.94
0.07,0.09
-1.86,0.17
-1.15,0.35
-4.38,0.18
0.81,0.32
4.29,0.86
4.81,0.65
-0.07,0.11
-4.62,0.67
4.26,0.05
-2.33,0.12
-3.09,0.15
4.64,0.68
2.16,0.17
2.43,0.88
3.58,0.56
3.15,0.28
4.35,0.64
-2.09,0.97
-1.15,0.60
0.76,0.89
3.11,0.25
0.90,0.14
0.95,0.43
-3.40,0.39
3.40,0.09
3.26,0.12
-4.08,0.28
-2.31,0.52
3.48,0.85
3.61,0.84
-4.68,0.22
1.01,0.04
1.08,0.73
-4.61,0.64
3.37,0.18
-2.18,0.03
3.14,0.58
4.60,0.32
-0.83,0.35
-1.39,0.44
-4.61,0.52
1.41,0.23
-0.11,0.25
-3.53,0.10
-3.19,0.39
-1.06,0.96
4.34,0.36
4.16,0.85
3.23,0.12
2.28,0.06
2.46,0.59
1.14,0.39
2.21,0.84
4.34,0.96
2.26,0.93
4.45,0.00
3.16,0.71
0.13,0.79
4.64,0.14
3.38,0.34
-3.16,0.53
-2.96,0.92
2.00,0.75
4.47,0.01
1.86,0.18
-4.48,0.11
-1.15,0.11
3.52,0.68
0.05,0.02
2.03,0.49
-4.41,0.24
-0.03,0.48
3.26,0.62
1.00,0.12
-2.63,0.59
-3.28,0.50
-2.00,0.06
-0.14,0.65
-3.31,0.77
0.10,0.13
-4.05,0.94
-0.17,0.14
-2.96,0.80
-4.69,0.24
-0.15,0.08
4.05,0.53
-4.73,0.84
-0.15,0.08
-1.00,0.90
-2.02,0.07
2.15,0.74
-0.13,0.14
-0.00,0.00
-1.04,0.61
-3.40,0.75
-0.80,0.34
-2.42,0.61
-2.42,0.81
2.93,0.33
4.37,0.35
3.01,0.67
3.49,0.08
-2.99,0.24
4.19,0.85
-0.08,0.51
4.78,0.56
-2.36,0.44
-1.35,0.86
2.27,0.81
-1.83,0.54
4.55,0.52
2.08,0.11
